scope,experiment,unit_id,comparison,classifier,accuracy_mean_baseline,accuracy_mean_extension,delta_accuracy
inter,e2_plv,irene,rest1_vs_type1,RBF-SVM,0.5,0.7,0.19999999999999996
inter,e2_plv,irene,rest1_vs_type1,KFDA,0.5,0.7166666666666667,0.21666666666666667
inter,e2_plv,jh,rest1_vs_type1,LDA,0.6166666666666667,0.6166666666666667,0.0
inter,e2_plv,jh,rest1_vs_type1,RBF-SVM,0.6333333333333333,0.6166666666666667,-0.016666666666666607
inter,e2_plv,jh,rest1_vs_type1,KFDA,0.6166666666666667,0.6,-0.01666666666666672
inter,e2_plv,lin,rest1_vs_type1,LDA,0.4833333333333333,0.6,0.1166666666666667
inter,e2_plv,lin,rest1_vs_type1,RBF-SVM,0.5,0.6166666666666667,0.1166666666666667
inter,e2_plv,lin,rest1_vs_type1,KFDA,0.5166666666666667,0.6333333333333333,0.11666666666666659
inter,e2_plv,pftest,rest1_vs_type1,LDA,0.5,0.6833333333333333,0.18333333333333335
inter,e2_plv,pftest,rest1_vs_type1,RBF-SVM,0.5,0.6333333333333333,0.1333333333333333
inter,e2_plv,pftest,rest1_vs_type1,KFDA,0.5,0.6333333333333333,0.1333333333333333
inter,e2_plv,yen,rest1_vs_type1,LDA,0.5333333333333333,0.8166666666666667,0.2833333333333333
inter,e2_plv,yen,rest1_vs_type1,RBF-SVM,0.5333333333333333,0.7333333333333333,0.19999999999999996
inter,e2_plv,yen,rest1_vs_type1,KFDA,0.5333333333333333,0.75,0.21666666666666667
inter,e2_plv,irene,rest2_vs_type2,LDA,0.4833333333333333,0.5,0.01666666666666672
inter,e2_plv,irene,rest2_vs_type2,RBF-SVM,0.4666666666666667,0.5,0.033333333333333326
inter,e2_plv,irene,rest2_vs_type2,KFDA,0.4666666666666667,0.5,0.033333333333333326
inter,e2_plv,jh,rest2_vs_type2,LDA,0.5,0.5,0.0
inter,e2_plv,jh,rest2_vs_type2,RBF-SVM,0.5166666666666667,0.5166666666666667,0.0
inter,e2_plv,jh,rest2_vs_type2,KFDA,0.5,0.5,0.0
inter,e2_plv,lin,rest2_vs_type2,LDA,0.5,0.5,0.0
inter,e2_plv,lin,rest2_vs_type2,RBF-SVM,0.5,0.4833333333333333,-0.01666666666666672
inter,e2_plv,lin,rest2_vs_type2,KFDA,0.3666666666666666,0.4,0.03333333333333344
inter,e2_plv,pftest,rest2_vs_type2,LDA,0.6166666666666667,0.6,-0.01666666666666672
inter,e2_plv,pftest,rest2_vs_type2,RBF-SVM,0.5666666666666667,0.55,-0.016666666666666607
inter,e2_plv,pftest,rest2_vs_type2,KFDA,0.6,0.55,-0.04999999999999993
inter,e2_plv,yen,rest2_vs_type2,LDA,0.5333333333333333,0.5333333333333333,0.0
inter,e2_plv,yen,rest2_vs_type2,RBF-SVM,0.5333333333333333,0.5333333333333333,0.0
inter,e2_plv,yen,rest2_vs_type2,KFDA,0.5166666666666667,0.5166666666666667,0.0
