experiment,reference,scope,unit_id,comparison,classifier,accuracy_reference,accuracy_experiment,delta_accuracy
e2c_coh_plv,poster_baseline,intra,lin,rest2_vs_type2,LDA,0.8333333333333334,0.8666666666666666,0.033333333333333215
e2c_coh_plv,poster_baseline,intra,lin,rest2_vs_type2,RBF-SVM,0.8333333333333334,0.8333333333333334,0.0
e2c_coh_plv,poster_baseline,intra,pftest,rest1_vs_type1,KFDA,0.95,0.95,0.0
e2c_coh_plv,poster_baseline,intra,pftest,rest1_vs_type1,LDA,0.95,0.95,0.0
e2c_coh_plv,poster_baseline,intra,pftest,rest1_vs_type1,RBF-SVM,0.95,0.95,0.0
e2c_coh_plv,poster_baseline,intra,pftest,rest2_vs_type2,KFDA,0.8333333333333334,0.7,-0.13333333333333341
e2c_coh_plv,poster_baseline,intra,pftest,rest2_vs_type2,LDA,0.8333333333333334,0.7333333333333333,-0.10000000000000009
e2c_coh_plv,poster_baseline,intra,pftest,rest2_vs_type2,RBF-SVM,0.8333333333333334,0.7333333333333333,-0.10000000000000009
e2c_coh_plv,poster_baseline,intra,yen,rest1_vs_type1,KFDA,0.8,0.75,-0.050000000000000044
e2c_coh_plv,poster_baseline,intra,yen,rest1_vs_type1,LDA,0.75,0.7833333333333334,0.03333333333333344
e2c_coh_plv,poster_baseline,intra,yen,rest1_vs_type1,RBF-SVM,0.8166666666666667,0.7333333333333333,-0.08333333333333337
e2c_coh_plv,poster_baseline,intra,yen,rest2_vs_type2,KFDA,0.5333333333333334,0.65,0.11666666666666659
e2c_coh_plv,poster_baseline,intra,yen,rest2_vs_type2,LDA,0.5666666666666667,0.5833333333333333,0.016666666666666607
e2c_coh_plv,poster_baseline,intra,yen,rest2_vs_type2,RBF-SVM,0.5166666666666667,0.6166666666666667,0.09999999999999998
e2c_coh_plv,poster_baseline,inter,irene,rest1_vs_type1,LDA,0.4833333333333333,0.7166666666666667,0.2333333333333334
e2c_coh_plv,poster_baseline,inter,irene,rest1_vs_type1,RBF-SVM,0.5,0.7,0.19999999999999996
e2c_coh_plv,poster_baseline,inter,irene,rest1_vs_type1,KFDA,0.5,0.7166666666666667,0.21666666666666667
e2c_coh_plv,poster_baseline,inter,jh,rest1_vs_type1,LDA,0.6166666666666667,0.6666666666666666,0.04999999999999993
e2c_coh_plv,poster_baseline,inter,jh,rest1_vs_type1,RBF-SVM,0.6333333333333333,0.6166666666666667,-0.016666666666666607
e2c_coh_plv,poster_baseline,inter,jh,rest1_vs_type1,KFDA,0.6166666666666667,0.6333333333333333,0.016666666666666607
e2c_coh_plv,poster_baseline,inter,lin,rest1_vs_type1,LDA,0.4833333333333333,0.6,0.1166666666666667
e2c_coh_plv,poster_baseline,inter,lin,rest1_vs_type1,RBF-SVM,0.5,0.6166666666666667,0.1166666666666667
e2c_coh_plv,poster_baseline,inter,lin,rest1_vs_type1,KFDA,0.5166666666666667,0.6333333333333333,0.11666666666666659
e2c_coh_plv,poster_baseline,inter,pftest,rest1_vs_type1,LDA,0.5,0.6833333333333333,0.18333333333333335
e2c_coh_plv,poster_baseline,inter,pftest,rest1_vs_type1,RBF-SVM,0.5,0.6333333333333333,0.1333333333333333
