analysis,subject_id,comparison,outer_fold,step,candidate_index,candidate_name,cv_accuracy,improvement,accepted
intra,yen,rest1_vs_type1,5,5,1,BP__FP1__theta,0.8800000000000001,0.0022222222222222365,True
intra,yen,rest1_vs_type1,5,6,90,PLV__FP2__F7__alpha,0.9,0.019999999999999907,True
intra,yen,rest1_vs_type1,5,7,10,BP__FP2__beta_high,0.9400000000000001,0.040000000000000036,True
intra,yen,rest1_vs_type1,5,8,14,BP__F7__alpha,0.96,0.019999999999999907,True
intra,yen,rest1_vs_type1,5,9,4,BP__FP1__beta_high,0.96,0.0,False
intra,irene,rest2_vs_type2,1,1,68,PLV__FP1__F8__theta,0.7711111111111111,,True
intra,irene,rest2_vs_type2,1,2,83,PLV__F4__F8__theta,0.8133333333333332,0.04222222222222216,True
intra,irene,rest2_vs_type2,1,3,26,BP__Fz__alpha,0.8533333333333333,0.040000000000000036,True
intra,irene,rest2_vs_type2,1,4,27,BP__Fz__beta_low,0.8533333333333333,0.0,False
intra,irene,rest2_vs_type2,2,1,48,PLV__FP2__F7__delta,0.768888888888889,,True
intra,irene,rest2_vs_type2,2,2,5,BP__FP1__gamma,0.8333333333333334,0.06444444444444442,True
intra,irene,rest2_vs_type2,2,3,32,BP__F4__alpha,0.8555555555555555,0.022222222222222143,True
intra,irene,rest2_vs_type2,2,4,73,PLV__FP2__F8__theta,0.8755555555555556,0.02000000000000013,True
intra,irene,rest2_vs_type2,2,5,13,BP__F7__theta,0.8777777777777779,0.0022222222222222365,True
intra,irene,rest2_vs_type2,2,6,8,BP__FP2__alpha,0.8977777777777778,0.019999999999999907,True
intra,irene,rest2_vs_type2,2,7,10,BP__FP2__beta_high,0.8977777777777778,0.0,False
intra,irene,rest2_vs_type2,3,1,82,PLV__Fz__F8__theta,0.7488888888888888,,True
intra,irene,rest2_vs_type2,3,2,109,PLV__FP1__F4__beta_low,0.7911111111111111,0.04222222222222227,True
intra,irene,rest2_vs_type2,3,3,7,BP__FP2__theta,0.8533333333333333,0.06222222222222218,True
intra,irene,rest2_vs_type2,3,4,1,BP__FP1__theta,0.8555555555555555,0.0022222222222222365,True
intra,irene,rest2_vs_type2,3,5,31,BP__F4__theta,0.9155555555555555,0.05999999999999994,True
intra,irene,rest2_vs_type2,3,6,130,PLV__FP1__F4__beta_high,0.9577777777777777,0.04222222222222227,True
intra,irene,rest2_vs_type2,3,7,19,BP__F3__theta,0.9577777777777777,0.0,False
intra,irene,rest2_vs_type2,4,1,17,BP__F7__gamma,0.7733333333333332,,True
intra,irene,rest2_vs_type2,4,2,155,PLV__FP2__Fz__gamma,0.8155555555555555,0.04222222222222227,True
