subject_id,comparison,outer_fold,classifier,accuracy,n_selected_features,selected_features,sfs_inner_accuracy,grid_inner_accuracy,best_params
jh,rest1_vs_type1,4,KFDA,0.5,3,COH__F7__F8__gamma;COH__FP2__F8__theta;COH__FP2__F3__beta_high,0.8777777777777779,0.8555555555555555,"{""clf__C"": 10.0, ""clf__gamma"": 1.0}"
jh,rest1_vs_type1,5,LDA,0.6666666666666666,3,COH__FP1__Fz__beta_low;COH__F3__Fz__theta;COH__F7__F3__delta,0.8577777777777778,,{}
jh,rest1_vs_type1,5,RBF-SVM,0.5833333333333334,3,COH__FP1__Fz__beta_low;COH__F3__Fz__theta;COH__F7__F3__delta,0.8577777777777778,0.7933333333333332,"{""clf__C"": 10.0, ""clf__gamma"": 0.012386912896918909}"
jh,rest1_vs_type1,5,KFDA,0.5833333333333334,3,COH__FP1__Fz__beta_low;COH__F3__Fz__theta;COH__F7__F3__delta,0.8577777777777778,0.8155555555555555,"{""clf__C"": 1.0, ""clf__gamma"": 0.14204568230027764}"
lin,rest1_vs_type1,1,LDA,0.75,3,COH__FP2__Fz__gamma;COH__F7__F3__gamma;COH__FP2__F7__beta_high,0.9800000000000001,,{}
lin,rest1_vs_type1,1,RBF-SVM,0.75,3,COH__FP2__Fz__gamma;COH__F7__F3__gamma;COH__FP2__F7__beta_high,0.9800000000000001,1.0,"{""clf__C"": 10.0, ""clf__gamma"": 0.3768894828730004}"
lin,rest1_vs_type1,1,KFDA,0.75,3,COH__FP2__Fz__gamma;COH__F7__F3__gamma;COH__FP2__F7__beta_high,0.9800000000000001,1.0,"{""clf__C"": 1000.0, ""clf__gamma"": 0.23137744865585788}"
lin,rest1_vs_type1,2,LDA,1.0,2,COH__FP2__Fz__gamma;COH__FP2__Fz__alpha,0.9377777777777776,,{}
lin,rest1_vs_type1,2,RBF-SVM,1.0,2,COH__FP2__Fz__gamma;COH__FP2__Fz__alpha,0.9377777777777776,0.9377777777777776,"{""clf__C"": 10.0, ""clf__gamma"": 0.02017697586015141}"
lin,rest1_vs_type1,2,KFDA,1.0,2,COH__FP2__Fz__gamma;COH__FP2__Fz__alpha,0.9377777777777776,0.9577777777777777,"{""clf__C"": 0.1, ""clf__gamma"": 1.628894626777442}"
lin,rest1_vs_type1,3,LDA,1.0,3,COH__FP2__Fz__gamma;COH__FP2__Fz__alpha;COH__FP1__FP2__beta_low,0.9377777777777776,,{}
lin,rest1_vs_type1,3,RBF-SVM,1.0,3,COH__FP2__Fz__gamma;COH__FP2__Fz__alpha;COH__FP1__FP2__beta_low,0.9377777777777776,0.9377777777777776,"{""clf__C"": 10.0, ""clf__gamma"": 0.007604489997873477}"
lin,rest1_vs_type1,3,KFDA,1.0,3,COH__FP2__Fz__gamma;COH__FP2__Fz__alpha;COH__FP1__FP2__beta_low,0.9377777777777776,0.9577777777777777,"{""clf__C"": 1.0, ""clf__gamma"": 0.3768894828730004}"
lin,rest1_vs_type1,4,LDA,1.0,2,COH__FP2__Fz__gamma;COH__FP2__Fz__alpha,0.9355555555555556,,{}
lin,rest1_vs_type1,4,RBF-SVM,1.0,2,COH__FP2__Fz__gamma;COH__FP2__Fz__alpha,0.9355555555555556,0.9355555555555556,"{""clf__C"": 10.0, ""clf__gamma"": 0.012386912896918909}"
lin,rest1_vs_type1,4,KFDA,1.0,2,COH__FP2__Fz__gamma;COH__FP2__Fz__alpha,0.9355555555555556,0.9377777777777776,"{""clf__C"": 0.1, ""clf__gamma"": 1.0}"
lin,rest1_vs_type1,5,LDA,0.8333333333333334,3,COH__FP2__Fz__gamma;COH__FP1__F7__gamma;COH__FP1__FP2__alpha,0.9800000000000001,,{}
lin,rest1_vs_type1,5,RBF-SVM,0.9166666666666666,3,COH__FP2__Fz__gamma;COH__FP1__F7__gamma;COH__FP1__FP2__alpha,0.9800000000000001,0.96,"{""clf__C"": 10.0, ""clf__gamma"": 0.03286616756321879}"
lin,rest1_vs_type1,5,KFDA,0.9166666666666666,3,COH__FP2__Fz__gamma;COH__FP1__F7__gamma;COH__FP1__FP2__alpha,0.9800000000000001,0.9800000000000001,"{""clf__C"": 1000.0, ""clf__gamma"": 0.012386912896918909}"
pftest,rest1_vs_type1,1,LDA,0.9166666666666666,1,COH__F3__Fz__gamma,1.0,,{}
pftest,rest1_vs_type1,1,RBF-SVM,0.9166666666666666,1,COH__F3__Fz__gamma,1.0,1.0,"{""clf__C"": 0.1, ""clf__gamma"": 0.14204568230027764}"
pftest,rest1_vs_type1,1,KFDA,0.9166666666666666,1,COH__F3__Fz__gamma,1.0,1.0,"{""clf__C"": 0.1, ""clf__gamma"": 0.007604489997873477}"
pftest,rest1_vs_type1,2,LDA,1.0,1,COH__F3__Fz__gamma,0.9777777777777779,,{}
pftest,rest1_vs_type1,2,RBF-SVM,1.0,1,COH__F3__Fz__gamma,0.9777777777777779,0.9777777777777779,"{""clf__C"": 0.1, ""clf__gamma"": 0.14204568230027764}"
pftest,rest1_vs_type1,2,KFDA,1.0,1,COH__F3__Fz__gamma,0.9777777777777779,0.9777777777777779,"{""clf__C"": 0.1, ""clf__gamma"": 0.007604489997873477}"
pftest,rest1_vs_type1,3,LDA,0.9166666666666666,2,COH__F3__Fz__beta_high;COH__FP1__Fz__alpha,1.0,,{}
pftest,rest1_vs_type1,3,RBF-SVM,0.9166666666666666,2,COH__F3__Fz__beta_high;COH__FP1__Fz__alpha,1.0,1.0,"{""clf__C"": 1.0, ""clf__gamma"": 0.053535523746494146}"
pftest,rest1_vs_type1,3,KFDA,0.9166666666666666,2,COH__F3__Fz__beta_high;COH__FP1__Fz__alpha,1.0,1.0,"{""clf__C"": 10.0, ""clf__gamma"": 0.08720372697238048}"
pftest,rest1_vs_type1,4,LDA,1.0,1,COH__F3__Fz__beta_high,0.9777777777777779,,{}
pftest,rest1_vs_type1,4,RBF-SVM,1.0,1,COH__F3__Fz__beta_high,0.9777777777777779,0.9777777777777779,"{""clf__C"": 0.1, ""clf__gamma"": 0.14204568230027764}"
pftest,rest1_vs_type1,4,KFDA,1.0,1,COH__F3__Fz__beta_high,0.9777777777777779,0.9777777777777779,"{""clf__C"": 0.1, ""clf__gamma"": 0.007604489997873477}"
pftest,rest1_vs_type1,5,LDA,0.9166666666666666,1,COH__FP1__F3__beta_high,0.9777777777777779,,{}
pftest,rest1_vs_type1,5,RBF-SVM,0.9166666666666666,1,COH__FP1__F3__beta_high,0.9777777777777779,0.9777777777777779,"{""clf__C"": 0.1, ""clf__gamma"": 0.3768894828730004}"
pftest,rest1_vs_type1,5,KFDA,0.9166666666666666,1,COH__FP1__F3__beta_high,0.9777777777777779,0.9777777777777779,"{""clf__C"": 0.1, ""clf__gamma"": 0.007604489997873477}"
yen,rest1_vs_type1,1,LDA,0.75,3,COH__FP2__F3__beta_high;COH__FP1__FP2__delta;COH__F3__F4__beta_high,0.8977777777777778,,{}
yen,rest1_vs_type1,1,RBF-SVM,0.6666666666666666,3,COH__FP2__F3__beta_high;COH__FP1__FP2__delta;COH__F3__F4__beta_high,0.8977777777777778,0.8555555555555555,"{""clf__C"": 1.0, ""clf__gamma"": 0.012386912896918909}"
yen,rest1_vs_type1,1,KFDA,0.6666666666666666,3,COH__FP2__F3__beta_high;COH__FP1__FP2__delta;COH__F3__F4__beta_high,0.8977777777777778,0.8333333333333333,"{""clf__C"": 10.0, ""clf__gamma"": 0.053535523746494146}"
yen,rest1_vs_type1,2,LDA,0.6666666666666666,4,COH__FP2__F3__beta_high;COH__FP1__F4__theta;COH__F3__Fz__beta_low;COH__Fz__F4__alpha,0.9177777777777777,,{}
yen,rest1_vs_type1,2,RBF-SVM,0.75,4,COH__FP2__F3__beta_high;COH__FP1__F4__theta;COH__F3__Fz__beta_low;COH__Fz__F4__alpha,0.9177777777777777,0.9199999999999999,"{""clf__C"": 10.0, ""clf__gamma"": 0.08720372697238048}"
yen,rest1_vs_type1,2,KFDA,0.6666666666666666,4,COH__FP2__F3__beta_high;COH__FP1__F4__theta;COH__F3__Fz__beta_low;COH__Fz__F4__alpha,0.9177777777777777,0.9177777777777777,"{""clf__C"": 50.0, ""clf__gamma"": 0.03286616756321879}"
yen,rest1_vs_type1,3,LDA,0.5,2,COH__FP1__FP2__gamma;COH__FP2__F3__beta_low,0.8577777777777778,,{}
yen,rest1_vs_type1,3,RBF-SVM,0.5833333333333334,2,COH__FP1__FP2__gamma;COH__FP2__F3__beta_low,0.8577777777777778,0.8377777777777776,"{""clf__C"": 1.0, ""clf__gamma"": 0.02017697586015141}"
yen,rest1_vs_type1,3,KFDA,0.5833333333333334,2,COH__FP1__FP2__gamma;COH__FP2__F3__beta_low,0.8577777777777778,0.8377777777777776,"{""clf__C"": 0.1, ""clf__gamma"": 0.14204568230027764}"
yen,rest1_vs_type1,4,LDA,0.5833333333333334,3,COH__FP2__F3__beta_high;COH__F7__F8__delta;COH__F3__F4__beta_high,0.8977777777777778,,{}
yen,rest1_vs_type1,4,RBF-SVM,0.5833333333333334,3,COH__FP2__F3__beta_high;COH__F7__F8__delta;COH__F3__F4__beta_high,0.8977777777777778,0.9,"{""clf__C"": 50.0, ""clf__gamma"": 0.23137744865585788}"
yen,rest1_vs_type1,4,KFDA,0.5833333333333334,3,COH__FP2__F3__beta_high;COH__F7__F8__delta;COH__F3__F4__beta_high,0.8977777777777778,0.8977777777777778,"{""clf__C"": 50.0, ""clf__gamma"": 0.03286616756321879}"
yen,rest1_vs_type1,5,LDA,1.0,2,COH__FP2__F3__beta_high;COH__FP1__Fz__delta,0.8311111111111111,,{}
yen,rest1_vs_type1,5,RBF-SVM,0.9166666666666666,2,COH__FP2__F3__beta_high;COH__FP1__Fz__delta,0.8311111111111111,0.8133333333333335,"{""clf__C"": 50.0, ""clf__gamma"": 0.053535523746494146}"
yen,rest1_vs_type1,5,KFDA,0.8333333333333334,2,COH__FP2__F3__beta_high;COH__FP1__Fz__delta,0.8311111111111111,0.8333333333333334,"{""clf__C"": 10.0, ""clf__gamma"": 0.6139132535407591}"
irene,rest2_vs_type2,1,LDA,0.4166666666666667,2,COH__F3__F4__beta_low;COH__F3__F8__beta_low,0.7711111111111111,,{}
