analysis,held_out_subject,comparison,outer_fold,step,candidate_index,candidate_name,cv_accuracy,improvement,accepted
inter,jh,rest2_vs_type2,2,7,98,PLV__F3__F8__beta_low,0.7083333333333334,-0.004166666666666652,False
inter,lin,rest2_vs_type2,3,1,80,PLV__F4__F8__alpha,0.5916666666666667,,True
inter,lin,rest2_vs_type2,3,2,37,PLV__Fz__F8__delta,0.6291666666666667,0.03749999999999998,True
inter,lin,rest2_vs_type2,3,3,104,PLV__FP1__F3__beta_high,0.6375,0.008333333333333304,True
inter,lin,rest2_vs_type2,3,4,22,PLV__FP1__F4__delta,0.6416666666666667,0.004166666666666763,True
inter,lin,rest2_vs_type2,3,5,140,PLV__F3__F8__gamma,0.6416666666666666,-1.1102230246251565e-16,False
inter,pftest,rest2_vs_type2,4,1,71,PLV__F7__F3__alpha,0.5958333333333334,,True
inter,pftest,rest2_vs_type2,4,2,4,ASYM_LOGRATIO__FP1__FP2__beta_high,0.6666666666666666,0.07083333333333319,True
inter,pftest,rest2_vs_type2,4,3,70,PLV__FP2__F8__alpha,0.6666666666666667,1.1102230246251565e-16,False
inter,yen,rest2_vs_type2,5,1,71,PLV__F7__F3__alpha,0.6708333333333333,,True
inter,yen,rest2_vs_type2,5,2,77,PLV__F3__F8__alpha,0.6833333333333333,0.012500000000000067,True
inter,yen,rest2_vs_type2,5,3,3,ASYM_LOGRATIO__FP1__FP2__beta_low,0.6916666666666667,0.008333333333333304,True
inter,yen,rest2_vs_type2,5,4,6,ASYM_LOGRATIO__F3__F4__delta,0.6916666666666667,0.0,False
